material_id,Date,Demand,Year,Month,mom_growth,yoy_growth,CV,Safety_Stock,Unrestricted,Material_Lead_Time,Moving_price,High_Lead_Time_Flag,Lead_Time_Category,XYZ_Class,Reorder_Point,ABC_Class
615526,2023-10-01,133,2023,Oct,0.0,0.0,0.0,50.0,92.0,60.0,347.3,1,Long,X,316.0,B
615934,2023-10-01,3,2023,Oct,0.0,0.0,0.0,2.0,2.0,10.0,722.37,0,Short,X,3.0,C
616123,2023-10-01,3,2023,Oct,0.0,0.0,0.0,1.0,4.0,24.0,2079.0,0,Medium,X,3.4,C
616137,2023-10-01,0,2023,Oct,0.0,0.0,0.0,2.0,0.0,77.0,66462.39,1,Long,X,2.0,C
616471,2023-10-01,14,2023,Oct,0.0,0.0,0.0,50.0,152.0,18.0,166.96,0,Short,X,58.4,C
617756,2023-10-01,99,2023,Oct,0.0,0.0,0.0,90.0,45.0,120.0,1893.19,1,Very Long,X,486.0,A
617982,2023-10-01,1,2023,Oct,0.0,0.0,0.0,1.0,10.0,31.0,558.9,0,Medium,X,2.0333,C
618000,2023-10-01,71,2023,Oct,0.0,0.0,0.0,25.0,38.0,18.0,17.87,0,Short,X,67.6,C
618270,2023-10-01,0,2023,Oct,0.0,0.0,0.0,2.0,4.0,28.0,1117.05,0,Medium,X,2.0,C
618700,2023-10-01,0,2023,Oct,0.0,0.0,0.0,5.0,4.0,21.0,490.0,0,Medium,X,5.0,C
619095,2023-10-01,12,2023,Oct,0.0,0.0,0.0,5.0,67.0,10.0,6.08,0,Short,X,9.0,C
619134,2023-10-01,14,2023,Oct,0.0,0.0,0.0,10.0,213.0,18.0,113.8,0,Short,X,18.4,C
619346,2023-10-01,5,2023,Oct,0.0,0.0,0.0,5.0,5.0,50.0,5355.37,0,Long,X,13.3333,B
619441,2023-10-01,154,2023,Oct,0.0,0.0,0.0,200.0,291.0,38.0,22.54,0,Medium,X,395.0667,C
619689,2023-10-01,270,2023,Oct,0.0,0.0,0.0,300.0,232.535,28.0,1646.0,0,Medium,X,552.0,A
619900,2023-10-01,0,2023,Oct,0.0,0.0,0.0,2.0,4.0,56.0,6671.7,0,Long,X,2.0,C
619942,2023-10-01,0,2023,Oct,0.0,0.0,0.0,2.0,3.0,24.0,5609.44,0,Medium,X,2.0,C
620082,2023-10-01,0,2023,Oct,0.0,0.0,0.0,2.0,2.0,35.0,1581.25,0,Medium,X,2.0,C
620628,2023-10-01,0,2023,Oct,0.0,0.0,0.0,7.0,2.59,33.0,3573.31,0,Medium,X,7.0,C
621819,2023-10-01,0,2023,Oct,0.0,0.0,0.0,2.0,0.0,33.0,350.0,0,Medium,X,2.0,C
622163,2023-10-01,0,2023,Oct,0.0,0.0,0.0,5.0,0.0,10.0,130.0,0,Short,X,5.0,C
622176,2023-10-01,2,2023,Oct,0.0,0.0,0.0,2.0,3.0,77.0,1440.12,1,Long,X,7.1333,C
624214,2023-10-01,76,2023,Oct,0.0,0.0,0.0,40.0,16.0,50.0,189.54,0,Long,X,166.6667,C
624237,2023-10-01,266,2023,Oct,0.0,0.0,0.0,200.0,353.5,38.0,156.2,0,Medium,X,536.9333,B
624458,2023-10-01,43,2023,Oct,0.0,0.0,0.0,10.0,74.0,10.0,2.5,0,Short,X,24.3333,C
624747,2023-10-01,0,2023,Oct,0.0,0.0,0.0,2.0,8.0,67.0,1040.13,1,Long,X,2.0,C
624823,2023-10-01,0,2023,Oct,0.0,0.0,0.0,1.0,5.0,18.0,757.5,0,Short,X,1.0,C
625089,2023-10-01,22,2023,Oct,0.0,0.0,0.0,10.0,63.0,18.0,705.72,0,Short,X,23.2,B
625454,2023-10-01,2,2023,Oct,0.0,0.0,0.0,2.0,9.0,77.0,111319.79,1,Long,X,7.1333,A
625872,2023-10-01,11,2023,Oct,0.0,0.0,0.0,5.0,0.0,38.0,44471.71,0,Medium,X,18.9333,A
625873,2023-10-01,0,2023,Oct,0.0,0.0,0.0,10.0,0.0,45.0,28893.13,0,Long,X,10.0,C
626064,2023-10-01,0,2023,Oct,0.0,0.0,0.0,100.0,219.0,18.0,236.25,0,Short,X,100.0,C
626145,2023-10-01,10,2023,Oct,0.0,0.0,0.0,10.0,20.0,8.0,16983.65,0,Short,X,12.6667,A
